feature,method,rmse,mae,distribution_drift,bias,absolute_bias,variance,execution_time_seconds,downstream_model_accuracy,masked_values
Discharges,Median,9.937565513410885,7.963541666666667,7.963541666666667,0.3072916666666667,0.3072916666666667,0.0,0.021116300000358024,0.66,192
Doctors,Median,2.6643870464580277,1.9427083333333333,1.9427083333333335,-0.5260416666666666,0.5260416666666666,0.0,0.021116300000358024,0.66,192
Nurses,Median,9.548123724935003,7.619791666666667,7.619791666666668,-0.2760416666666667,0.2760416666666667,0.0,0.021116300000358024,0.66,192
Staff_On_Duty,Median,17.354454279329364,13.770833333333334,13.770833333333332,-4.020833333333333,4.020833333333333,0.0,0.021116300000358024,0.66,192
Average_Length_of_Stay,Median,1.1036386316030562,0.8922395833333333,0.8922395833333336,-0.030677083333333053,0.030677083333333053,0.0,0.021116300000358024,0.66,192
Emergency_Cases,Median,7.221567812232096,5.744791666666667,5.744791666666667,-0.09895833333333333,0.09895833333333333,0.0,0.021116300000358024,0.66,192
Covid_Cases,Median,5.9402405955763555,4.130208333333333,4.130208333333334,-2.7760416666666665,2.7760416666666665,0.0,0.021116300000358024,0.66,192
ICU_Beds,Mode,12.174298405520815,9.921875,9.921875,9.588541666666666,9.588541666666666,0.0,0.024353800000426418,0.66,192
General_Beds,Mode,41.37915387003461,30.567708333333332,30.567708333333332,-18.838541666666668,18.838541666666668,0.0,0.024353800000426418,0.66,192
Emergency_Beds,Mode,19.05283224790127,16.34375,16.343749999999996,-16.03125,16.03125,0.0,0.024353800000426418,0.66,192
Occupied_Beds,Mode,30.41269951297758,24.161458333333332,24.161458333333336,-4.223958333333333,4.223958333333333,0.0,0.024353800000426418,0.66,192
Available_Beds,Mode,22.456091415619653,18.171875,18.171875,4.880208333333333,4.880208333333333,0.0,0.024353800000426418,0.66,192
Admissions,Mode,10.413832947895154,8.260416666666666,8.26041666666667,5.947916666666667,5.947916666666667,0.0,0.024353800000426418,0.66,192
Discharges,Mode,10.29132927922012,8.161458333333334,8.161458333333332,-2.6927083333333335,2.6927083333333335,0.0,0.024353800000426418,0.66,192
Doctors,Mode,3.0250688697394423,2.2135416666666665,2.213541666666667,-1.5260416666666667,1.5260416666666667,0.0,0.024353800000426418,0.66,192
Nurses,Mode,9.939661714565542,7.526041666666667,7.526041666666668,-2.7760416666666665,2.7760416666666665,0.0,0.024353800000426418,0.66,192
